"EXPEDIT BOOKCASE 32X32""",,,,,,,,,,,,,,,1,right-hand side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",2,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",1,Step 10,2,cross piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,1,Step 9,4,shelf support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,1,Step 8,4,109067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,1,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,1,Step 6,1,cross piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,1,Step 5,2,shelf support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,1,Step 4,2,shelf support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,,,1,Step 2,1,cross piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,,,,,1,Step 1,2,114276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,,,,,,,4,114277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,,,,,,,4,107271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREDRIK COMPUTER WORKSTATION 39X24""",,,,,,,,,,,,,,,,,2,shelf support frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJUS SHELVING UNIT 27 1/2X66 7/8"" SOLW",1,brace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJUS SHELVING UNIT 27 1/2X66 7/8"" SOLW",4,screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
